,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Aug 20, 2019",10916.35,10947.04,10618.96,10763.23,15053082175,192530283565
1,"Aug 19, 2019",10350.28,10916.05,10313.2,10916.05,16038264603,195243306008
2,"Aug 18, 2019",10233.01,10487.07,10119.09,10345.81,12999813869,185022920955
3,"Aug 17, 2019",10358.72,10452.62,10086.7,10231.74,13778035685,182966857173
4,"Aug 16, 2019",10319.42,10524.35,9855.48,10374.34,20228207096,185500055339
5,"Aug 15, 2019",10038.42,10437.41,9675.32,10311.55,22899115082,184357666577
6,"Aug 14, 2019",10889.49,10889.56,10028.14,10051.7,19990838300,179692803424
7,"Aug 13, 2019",11385.05,11420.05,10830.33,10895.83,16681503537,194762696644
8,"Aug 12, 2019",11528.19,11528.19,11320.95,11382.62,13647198229,203441494985
9,"Aug 11, 2019",11349.74,11523.58,11248.29,11523.58,15774371518,205941632235
10,"Aug 10, 2019",11861.56,11915.66,11323.9,11354.02,18125355447,202890020455
11,"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,18339989960,211961319133
12,"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,19481591730,213788089212
13,"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,22194988641,213330426789
14,"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,23635107660,205023347814
15,"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,23875988832,210848822060
16,"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,16530894787,195907875403
17,"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,15352685061,193233960601
18,"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,17489094082,187791090996
19,"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,17165337858,185653203391
20,"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,16631520648,180028959603
21,"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,13829811132,171472452506
22,"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,13791445323,169880343827
23,"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,13738687093,170461958074
24,"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,16817809536,169099540423
25,"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,14495714483,176085968354
26,"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,15821952090,176806451137
27,"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,17398734322,175005760794
28,"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,17851916995,176572890702
29,"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,16334414913,184443440748
